period_start_utc,period_end_utc,block,forecast_fair_value,forecast_low,forecast_high,band_source,benchmark_method,benchmark_value,edge,signal,signal_margin,desk_action,decision_rationale,invalidation_logic,mae,tail_metric_name,tail_metric_value,prediction_coverage
2026-06-02 22:00:00+00:00,2026-06-03 22:00:00+00:00,baseload,101.6,94.85,108.35,p10_p90_residual,trailing_average,105.53,-3.93,Neutral,0.0,Do not add directional exposure; monitor until the benchmark moves outside the forecast band.,"Benchmark 105.53 sits inside the baseload forecast band (94.85-108.35 EUR/MWh), so there is no directional conviction.","Invalidate or resize the signal if updated load, wind, or solar forecasts materially change residual load; if outage, flow, or market-regime news changes the supply stack; if recent model error exceeds validation error; or if liquidity/execution prices differ materially from the benchmark.",6.75,bottom_decile_mae,6.22,1.0
2026-06-02 22:00:00+00:00,2026-06-03 22:00:00+00:00,peakload,80.65,73.9,87.4,p10_p90_residual,trailing_average,87.79,-7.14,Short,0.39,Sell or keep short exposure in the selected peakload delivery block.,"Benchmark 87.79 sits above the peakload forecast band (73.90-87.40 EUR/MWh) by 0.39 EUR/MWh, supporting a short view.","Invalidate or resize the signal if updated load, wind, or solar forecasts materially change residual load; if outage, flow, or market-regime news changes the supply stack; if recent model error exceeds validation error; or if liquidity/execution prices differ materially from the benchmark.",6.75,bottom_decile_mae,6.22,1.0
2026-06-02 22:00:00+00:00,2026-06-03 22:00:00+00:00,offpeak,122.55,115.8,129.3,p10_p90_residual,trailing_average,115.79,6.75,Long,0.0,Buy or keep long exposure in the selected offpeak delivery block.,"Benchmark 115.79 sits below the offpeak forecast band (115.80-129.30 EUR/MWh) by 0.00 EUR/MWh, supporting a long view.","Invalidate or resize the signal if updated load, wind, or solar forecasts materially change residual load; if outage, flow, or market-regime news changes the supply stack; if recent model error exceeds validation error; or if liquidity/execution prices differ materially from the benchmark.",6.75,top_decile_mae,4.98,1.0
